
running 127 tests
test client::backoff::tests::test_backoff ... ok
test client::builder::tests::test_add_query_pairs_no_path ... ok
test client::builder::tests::test_add_query_pairs ... ok
test client::retry::tests::test_body_contains_error ... ok
test client::get::tests::test_get_range_meta ... ok
test buffered::tests::test_buf_writer_with_put ... ok
test attributes::tests::test_attributes_basic ... ok
test chunked::tests::test_chunked_basic ... ok
test client::get::tests::test_get_attributes ... ok
test client::dns::tests::adapter_propagates_errors ... ok
test buffered::tests::test_buf_writer ... ok
test client::dns::tests::shuffle_resolver_resolves_localhost ... ok
test buffered::tests::test_buf_reader ... ok
test client::tests::client_test_config_from_map ... ok
test config::tests::test_parse_duration ... ok
test delimited::tests::test_delimiter ... ok
test delimited::tests::test_delimiter_quotes_stream ... ok
test delimited::tests::test_delimiter_escaped ... ok
test delimited::tests::test_delimiter_escape_stream ... ok
test local::tests::bubble_up_io_errors ... ignored
test delimited::tests::test_delimiter_stream ... ok
test delimited::tests::test_delimiter_unfold_stream ... ok
test http::tests::http_test ... ok
test local::tests::delete_dirs_automatically ... ok
test local::tests::creates_dir_if_not_present ... ok
test local::not_wasm_tests::test_cleanup_intermediate_files ... ok
test local::tests::filesystem_filename_with_percent ... ok
test local::tests::get_nonexistent_location ... ok
test local::tests::get_ranges_coalesces ... ok
test local::tests::list_hides_incomplete_uploads ... ok
test local::tests::invalid_path ... ok
test local::tests::range_request_beyond_end_of_file ... ok
test local::tests::range_request_start_beyond_end_of_file ... ok
test local::tests::test_close_file_detects_error_unix ... ok
test local::tests::root ... ok
test local::tests::test_intermediate_files ... ok
test local::tests::test_list_root ... ok
test local::tests::test_path_with_offset ... ok
test local::tests::test_non_tokio ... ok
test local::tests::relative_paths ... ok
test local::tests::test_valid_path ... ok
test local::unix_test::test_fifo ... ok
test local::tests::unknown_length ... ok
test local::tests::test_symlink ... ok
test local::tests::fsync_rename_if_not_exists_propagates_source_delete_sync_error ... ok
test memory::tests::nonexistent_location ... ok
test memory::tests::unknown_length ... ok
test multipart::tests::default_create_multipart_opts_ignores_extensions ... ok
test parse::tests::test_parse ... ok
test limit::tests::limit_test ... ok
test parse::tests::test_url_spaces ... ok
test path::parts::tests::path_part_cant_be_one_dot ... ok
test path::parts::tests::path_part_cant_be_two_dots ... ok
test path::parts::tests::path_part_delimiter_gets_encoded ... ok
test path::parts::tests::path_part_given_already_encoded_string ... ok
test path::parts::tests::path_part_parse ... ok
test path::tests::cloud_prefix_with_trailing_delimiter ... ok
test path::tests::convert_raw_before_partial_eq ... ok
test path::tests::delimiter_char_is_forward_slash ... ok
test path::tests::file_extension ... ok
test path::tests::filename_from_path ... ok
test path::tests::from_url_path ... ok
test path::tests::impl_extend ... ok
test path::tests::impl_extend_for_one_segment ... ok
test path::tests::parent ... ok
test path::tests::parts_after_prefix_behavior ... ok
test path::tests::parts_count ... ok
test path::tests::path_containing_spaces ... ok
test path::tests::prefix_matches ... ok
test path::tests::prefix_matches_raw_content ... ok
test path::tests::prefix_matches_with_file_name ... ok
test path::tests::push_encodes ... ok
test path::tests::root_is_root ... ok
test path::tests::test_parse ... ok
test payload::test::test_content_length ... ok
test payload::test::test_put_payload ... ok
test prefix::tests::prefix_head_get_strip_prefix ... ok
test memory::tests::box_test ... ok
test memory::tests::arc_test ... ok
test local::tests::fsync_creates_nested_dirs ... ok
test prefix::tests::signer ... ok
test prefix::tests::strip_meta_preserves_version_and_etag ... ok
test registry::tests::test_default_registry ... ok
test registry::tests::test_deregister ... ok
test registry::tests::test_deregister_keeps_longer_prefix ... ok
test registry::tests::test_num_segments ... ok
test signer::tests::default_signed_url_opts_delegates_when_empty ... ok
test signer::tests::default_signed_url_opts_rejects_extras ... ok
test tags::tests::test_tag_set ... ok
test tests::test_dyn_impl ... ok
test tests::test_generic_impl ... ok
test tests::test_get_options_builder ... ok
test tests::test_list_lifetimes ... ok
test tests::test_preconditions ... ok
test tests::test_reexported_types ... ok
test prefix::tests::prefix_test_applies_prefix ... ok
test memory::tests::in_memory_test ... ok
test client::builder::tests::test_request_builder_query ... ok
test client::tests::test_custom_dns_resolver ... ok
test parse::tests::test_url_http ... ok
test client::http::spawn::tests::test_spawn ... ok
test client::retry::tests::test_503_error_body_captured ... ok
test upload::tests::test_concurrency ... ok
test upload::tests::test_finish_aborts_on_part_failure ... ok
test client::http::spawn::tests::test_no_spawn - should panic ... ok
test util::tests::getrange_from ... ok
test util::tests::getrange_str ... ok
test util::tests::test_as_range ... ok
test util::tests::test_coalesce_fuzz ... ok
test util::tests::test_coalesce_ranges ... ok
test throttle::tests::throttle_test ... ok
test prefix::tests::prefix_multipart ... ok
test upload::tests::test_write_multipart ... ok
test client::get::http_tests::test_retry_validate_content_range ... ok
test local::tests::file_test ... ok
test throttle::tests::put_test ... ok
test prefix::tests::prefix_test ... ok
test client::retry::tests::test_connection_reset_is_retried ... ok
test throttle::tests::delete_test ... ok
test local::tests::file_test_fsync ... ok
test client::get::http_tests::test_stream_retry ... ok
test throttle::tests::list_with_delimiter_test ... ok
test throttle::tests::get_test ... ok
test throttle::tests::delete_stream_test ... ok
test client::retry::tests::test_retry ... ok
test throttle::tests::list_test ... ok
test chunked::tests::test_chunked ... ok

test result: ok. 126 passed; 0 failed; 1 ignored; 0 measured; 0 filtered out; finished in 18.01s

