task,model,effort,first_counted_result,status,reward,raw_reward,assistant_steps,tool_calls,checks_passed,checks_total,check_unit,cost_usd,usage_censored,finished_at,task_checksum,trial
cpp-foxglove-sdk-parameter-handler,fable-5-1,high,True,scored,1,1.0,134,134,14,14,verifier_groups,13.062727,False,2026-09-14T04:44:29.898650Z,0467d296c0515fd242069ded911d31a65f92191590e7c6b016d15184833085bd,jobs/candidates-all14-efforts-20-20260913T183301Z/cpp-foxglove-sdk-parameter-handl__mcJHqPh
cpp-foxglove-sdk-parameter-handler,fable-5-1,max,True,scored,1,1.0,191,191,14,14,verifier_groups,23.41272074999999,False,2026-09-14T02:39:16.221138Z,0467d296c0515fd242069ded911d31a65f92191590e7c6b016d15184833085bd,jobs/candidates-all14-efforts-20-20260913T183301Z/cpp-foxglove-sdk-parameter-handl__PfTWWLj
cpp-foxglove-sdk-parameter-handler,fable-5-1,medium,True,scored,1,1.0,79,79,14,14,verifier_groups,7.3719805,False,2026-09-14T03:15:41.069830Z,0467d296c0515fd242069ded911d31a65f92191590e7c6b016d15184833085bd,jobs/candidates-all14-efforts-20-20260913T183301Z/cpp-foxglove-sdk-parameter-handl__XdhK6NH
cpp-foxglove-sdk-parameter-handler,opus-5,high,True,scored,1,1.0,133,136,14,14,verifier_groups,12.183033499999997,False,2026-09-13T22:42:41.880505Z,0467d296c0515fd242069ded911d31a65f92191590e7c6b016d15184833085bd,jobs/candidates-all14-efforts-20-20260913T183301Z/cpp-foxglove-sdk-parameter-handl__ZhwWXAK
cpp-foxglove-sdk-parameter-handler,opus-5,max,True,scored,1,1.0,168,186,14,14,verifier_groups,21.814764750000005,False,2026-09-14T01:06:50.089442Z,0467d296c0515fd242069ded911d31a65f92191590e7c6b016d15184833085bd,jobs/candidates-all14-efforts-20-20260913T183301Z/cpp-foxglove-sdk-parameter-handl__ELNBqSc
cpp-foxglove-sdk-parameter-handler,opus-5,medium,True,scored,1,1.0,82,86,14,14,verifier_groups,6.454991499999998,False,2026-09-13T19:57:19.560564Z,0467d296c0515fd242069ded911d31a65f92191590e7c6b016d15184833085bd,jobs/candidates-all14-efforts-20-20260913T183301Z-repair-python310-001/cpp-foxglove-sdk-parameter-handl__q2eNzjP
cpp-foxglove-sdk-parameter-handler,sonnet-5,max,True,scored,1,1.0,364,364,14,14,verifier_groups,28.56227029999999,False,2026-09-14T01:28:40.557302Z,0467d296c0515fd242069ded911d31a65f92191590e7c6b016d15184833085bd,jobs/candidates-all14-efforts-20-20260913T183301Z/cpp-foxglove-sdk-parameter-handl__skHsJVS
cpp-foxglove-sdk-parameter-handler,sonnet-5,medium,True,scored,1,1.0,163,163,14,14,verifier_groups,5.5966501000000015,False,2026-09-13T20:50:12.099903Z,0467d296c0515fd242069ded911d31a65f92191590e7c6b016d15184833085bd,jobs/candidates-all14-efforts-20-20260913T183301Z/cpp-foxglove-sdk-parameter-handl__G6AoojN
cpp-rosbag2-mixed-serialization-playback,fable-5-1,high,True,scored,1,1.0,146,146,6,6,verifier_groups,10.22538775000001,False,2026-09-14T04:52:29.489372Z,fd3a449cc4ee1ff59a118d368c1cc6336567929b8dc6f7acd319a1da4c15f307,jobs/candidates-all14-efforts-20-20260913T183301Z/cpp-rosbag2-mixed-serialization__nEuowBK
cpp-rosbag2-mixed-serialization-playback,fable-5-1,max,True,scored,1,1.0,194,194,6,6,verifier_groups,19.207268250000002,False,2026-09-14T03:30:47.104047Z,fd3a449cc4ee1ff59a118d368c1cc6336567929b8dc6f7acd319a1da4c15f307,jobs/candidates-all14-efforts-20-20260913T183301Z/cpp-rosbag2-mixed-serialization__jf5Q9Ki
cpp-rosbag2-mixed-serialization-playback,fable-5-1,medium,True,scored,1,1.0,112,112,6,6,verifier_groups,6.798715750000001,False,2026-09-14T04:09:35.728106Z,fd3a449cc4ee1ff59a118d368c1cc6336567929b8dc6f7acd319a1da4c15f307,jobs/candidates-all14-efforts-20-20260913T183301Z/cpp-rosbag2-mixed-serialization__AnWqDSD
cpp-rosbag2-mixed-serialization-playback,opus-5,high,True,scored,1,1.0,125,130,6,6,verifier_groups,9.650409,False,2026-09-13T21:16:28.714090Z,fd3a449cc4ee1ff59a118d368c1cc6336567929b8dc6f7acd319a1da4c15f307,jobs/candidates-all14-efforts-20-20260913T183301Z/cpp-rosbag2-mixed-serialization__PozQCx4
cpp-rosbag2-mixed-serialization-playback,opus-5,high,False,scored,1,1.0,98,112,6,6,verifier_groups,8.829010750000002,False,2026-09-13T22:44:34.912330Z,fd3a449cc4ee1ff59a118d368c1cc6336567929b8dc6f7acd319a1da4c15f307,jobs/candidates-all14-efforts-20-20260913T183301Z/cpp-rosbag2-mixed-serialization__BGeDCkc
