date,menu_item,qty_sold,gross_revenue
2026-03-23,Mansaf,12,120.00
2026-03-23,Mansaf,13,130.00
2026-03-23,Musakhan,7,63.00
2026-03-23,Musakhan,8,72.00
2026-03-23,Arabic Coffee,10,40.00
2026-03-23,Arabic Coffee,10,40.00
2026-03-23,Tamarind Juice,12,36.00
2026-03-23,Tamarind Juice,13,39.00
2026-03-24,Mansaf,15,150.00
2026-03-24,Mansaf,15,150.00
2026-03-24,Musakhan,10,90.00
2026-03-24,Musakhan,10,90.00
2026-03-24,Arabic Coffee,12,48.00
2026-03-24,Arabic Coffee,13,52.00
2026-03-24,Tamarind Juice,17,51.00
2026-03-24,Tamarind Juice,18,54.00
2026-03-25,Mansaf,17,170.00
2026-03-25,Mansaf,17,170.00
2026-03-25,Musakhan,11,99.00
2026-03-25,Musakhan,11,99.00
2026-03-25,Arabic Coffee,14,56.00
2026-03-25,Arabic Coffee,14,56.00
2026-03-25,Tamarind Juice,19,57.00
2026-03-25,Tamarind Juice,19,57.00
2026-03-26,Mansaf,18,180.00
2026-03-26,Mansaf,18,180.00
2026-03-26,Musakhan,12,108.00
2026-03-26,Musakhan,12,108.00
2026-03-26,Arabic Coffee,15,60.00
2026-03-26,Arabic Coffee,15,60.00
2026-03-26,Tamarind Juice,21,63.00
2026-03-26,Tamarind Juice,21,63.00
2026-03-27,Mansaf,21,210.00
2026-03-27,Mansaf,21,210.00
2026-03-27,Musakhan,15,135.00
2026-03-27,Musakhan,15,135.00
2026-03-27,Arabic Coffee,18,72.00
2026-03-27,Arabic Coffee,18,72.00
2026-03-27,Tamarind Juice,24,72.00
2026-03-27,Tamarind Juice,24,72.00
2026-03-28,Mansaf,25,250.00
2026-03-28,Mansaf,25,250.00
2026-03-28,Musakhan,19,171.00
2026-03-28,Musakhan,19,171.00
2026-03-28,Arabic Coffee,22,88.00
2026-03-28,Arabic Coffee,22,88.00
2026-03-28,Tamarind Juice,30,90.00
2026-03-28,Tamarind Juice,30,90.00
2026-03-29,Mansaf,21,210.00
2026-03-29,Mansaf,22,220.00
2026-03-29,Musakhan,15,135.00
2026-03-29,Musakhan,16,144.00
2026-03-29,Arabic Coffee,18,72.00
2026-03-29,Arabic Coffee,19,76.00
2026-03-29,Tamarind Juice,26,78.00
2026-03-29,Tamarind Juice,26,78.00
